,City,Lat,Long,Max Temp (F),Humidity (%),Cloudiness (%),Windspeed (mph),Country,Date
0,Pervomayskoye,43.919,46.7102,46.96,83,92,5.93,RU,1619574072
1,Alakurtti,66.9672,30.3491,19.0,93,82,4.0,RU,1619574073
2,Longyearbyen,78.2186,15.6401,17.6,73,40,3.44,SJ,1619574073
3,Pisco,-13.7,-76.2167,64.99,94,0,10.36,PE,1619574073
4,Hobart,-42.8794,147.3294,64.0,63,75,9.22,AU,1619573946
5,Rikitea,-23.1203,-134.9692,76.91,75,100,12.44,PF,1619574074
6,Avarua,-21.2078,-159.775,82.4,78,90,8.05,CK,1619574074
7,Upernavik,72.7868,-56.1549,25.52,91,99,7.65,GL,1619574075
8,Albany,42.6001,-73.9662,54.0,44,73,1.23,US,1619574012
9,Hong Kong,22.2855,114.1577,78.01,86,96,1.01,HK,1619573874
10,Havelock,34.8791,-76.9013,70.0,77,1,16.11,US,1619574075
11,Srednekolymsk,67.45,153.6833,30.94,88,32,5.39,RU,1619574076
12,Merauke,-8.4667,140.3333,84.36,70,26,5.41,ID,1619574076
13,Coria,39.9879,-6.5377,53.01,90,60,1.01,ES,1619574076
14,Avtury,43.16,46.0,48.2,87,0,6.71,RU,1619574077
15,Ylivieska,64.0833,24.55,30.0,51,82,1.01,FI,1619574077
16,Khatanga,71.9667,102.5,28.49,79,93,6.91,RU,1619574078
17,Port Hardy,50.6996,-127.4199,48.2,100,90,2.3,CA,1619574078
18,Ushuaia,-54.8,-68.3,42.8,93,75,13.8,AR,1619574024
19,Isangel,-19.55,169.2667,78.8,73,40,11.5,VU,1619574079
20,Frontera,26.9333,-101.45,86.47,38,86,4.34,MX,1619574079
21,Nānākuli,21.3906,-158.1547,82.4,57,1,13.8,US,1619574079
22,Atuona,-9.8,-139.0333,80.15,71,21,13.35,PF,1619574080
23,Kysyl-Syr,63.8986,122.7617,24.04,71,36,7.87,RU,1619574080
24,Banda Aceh,5.5577,95.3222,83.8,70,88,6.06,ID,1619573993
25,Tiksi,71.6872,128.8694,16.61,80,100,11.88,RU,1619574081
26,Riyadh,24.6877,46.7219,84.2,21,75,11.5,SA,1619574004
27,General Roca,-39.0333,-67.5833,53.6,94,0,2.3,AR,1619574081
28,Butaritari,3.0707,172.7902,82.67,76,95,8.39,KI,1619574081
29,Vaini,-21.2,-175.2,75.2,83,75,12.66,TO,1619574082
30,Hilo,19.7297,-155.09,84.2,48,75,6.91,US,1619574082
31,New Norfolk,-42.7826,147.0587,64.0,69,97,1.01,AU,1619574083
32,Chornobay,49.6708,32.3239,35.02,69,0,4.21,UA,1619574083
33,Port-Gentil,-0.7193,8.7815,82.53,78,100,6.51,GA,1619574083
34,Padang,-0.9492,100.3543,78.8,89,40,3.44,ID,1619574084
35,Matagami,49.7502,-77.6328,46.4,29,90,4.61,CA,1619574084
36,Akdepe,42.0551,59.3788,62.6,50,0,2.3,TM,1619574085
37,Petropavlovsk-Kamchatskiy,53.0452,158.6483,42.8,81,40,11.18,RU,1619574085
38,Sharan,54.8167,54.0,38.21,88,40,9.66,RU,1619574085
39,Biak,-0.9131,122.8766,83.53,66,3,2.84,ID,1619574086
40,Derzhavīnsk,51.1,66.3167,52.05,83,63,14.34,KZ,1619574086
41,Assiut,27.181,31.1837,64.4,68,0,13.8,EG,1619574086
42,Lensk,60.7253,114.9278,28.67,71,85,2.53,RU,1619574087
43,Wodonga,-36.1167,146.8833,68.0,67,13,2.3,AU,1619574087
44,Hithadhoo,-0.6,73.0833,82.35,66,96,2.13,MV,1619574088
45,Puerto Ayora,-0.7393,-90.3518,75.31,90,42,6.69,EC,1619574069
46,Meadville,41.6414,-80.1515,73.4,35,1,4.61,US,1619573909
47,Hermanus,-34.4187,19.2345,53.01,90,56,4.7,ZA,1619574088
48,Quelimane,-17.8786,36.8883,72.46,93,12,3.91,MZ,1619574089
49,Portland,45.5234,-122.6762,66.2,42,75,4.61,US,1619573829
50,Lichtenburg,-26.152,26.1597,56.73,43,0,2.64,ZA,1619574089
51,Mahébourg,-20.4081,57.7,77.0,88,75,11.5,MU,1619574090
52,Sørland,67.667,12.6934,36.99,62,29,13.09,NO,1619574090
53,Tual,-5.6667,132.75,83.34,63,24,2.71,ID,1619574091
54,Gornopravdinsk,60.05,69.9,40.75,73,100,4.05,RU,1619574091
55,Yellowknife,62.456,-114.3525,19.4,45,75,13.8,CA,1619574091
56,Aitape,-3.1374,142.3475,85.57,67,13,3.98,PG,1619574092
57,East London,-33.0153,27.9116,64.17,72,99,8.34,ZA,1619574092
58,Mar del Plata,-38.0023,-57.5575,55.99,87,0,9.89,AR,1619573893
59,Port Lincoln,-34.7333,135.8667,69.37,45,97,3.96,AU,1619574093
60,Bethel,41.3712,-73.414,59.0,31,1,3.2,US,1619574093
61,Riedlingen,48.1545,9.4756,39.0,76,7,2.35,DE,1619574094
62,Saskylakh,71.9167,114.0833,29.53,88,99,12.19,RU,1619574094
63,Airai,-8.9266,125.4092,73.8,33,9,1.32,TL,1619574095
64,Margate,51.3813,1.3862,45.0,81,7,1.99,GB,1619574095
65,Novokayakent,42.3937,47.9861,51.8,87,75,6.71,RU,1619574095
66,Umba,66.6871,34.3429,28.36,92,95,3.78,RU,1619574096
67,Jamestown,42.097,-79.2353,69.8,46,75,11.5,US,1619574096
68,Qaanaaq,77.484,-69.3632,34.41,93,100,2.1,GL,1619574097
69,Moyale,3.5167,39.0584,66.87,76,7,2.98,KE,1619574097
70,Bengkulu,-3.8004,102.2655,82.45,71,32,0.67,ID,1619574097
71,Barrow,71.2906,-156.7887,19.4,86,90,5.75,US,1619573818
72,Ranau,5.9538,116.6641,84.2,74,20,1.97,MY,1619574098
73,Ouadda,8.0777,22.4007,76.44,55,90,3.53,CF,1619574098
74,Laguna,38.421,-121.4238,78.8,14,1,10.36,US,1619574099
75,Kutum,14.2,24.6667,70.66,16,98,7.18,SD,1619574099
76,Rodrigues Alves,-7.738,-72.6509,70.68,96,100,3.09,BR,1619574099
77,Kahului,20.8947,-156.47,78.8,65,40,8.05,US,1619574100
78,Carnarvon,-24.8667,113.6333,78.8,36,0,8.05,AU,1619574100
79,Flin Flon,54.7682,-101.865,25.36,44,99,7.72,CA,1619574100
80,Saint-Philippe,-21.3585,55.7679,77.0,73,0,4.61,RE,1619574101
81,Kloulklubed,7.0419,134.2556,84.2,79,75,4.61,PW,1619574101
82,Cabo San Lucas,22.8909,-109.9124,72.0,63,1,5.75,MX,1619573856
83,Nikolskoye,59.7035,30.7861,35.01,75,75,2.24,RU,1619574102
84,Bredasdorp,-34.5322,20.0403,48.2,93,100,1.14,ZA,1619574102
85,Inverness,57.4791,-4.224,42.01,93,75,6.91,GB,1619573823
86,Mount Isa,-20.7333,139.5,82.4,28,0,13.8,AU,1619574103
87,Paka,4.6374,103.4368,82.4,83,20,3.87,MY,1619574103
88,Anadyr,64.75,177.4833,32.0,86,75,11.18,RU,1619574103
89,Kashgar,39.4547,75.9797,60.8,20,0,8.95,CN,1619574104
90,Punta Arenas,-53.15,-70.9167,42.8,81,75,18.41,CL,1619573852
91,Manzhouli,49.6,117.4333,35.64,37,99,22.57,CN,1619574104
92,Nipawin,53.3668,-104.0009,32.0,51,1,8.05,CA,1619574105
93,Montgomery Village,39.1768,-77.1953,75.2,43,1,4.61,US,1619574105
94,Mehamn,71.0357,27.8492,27.01,70,100,15.88,NO,1619574105
95,Cape Town,-33.9258,18.4232,57.0,94,0,1.14,ZA,1619574106
96,Yangi Marg`ilon,40.4272,71.7189,64.4,36,0,6.91,UZ,1619574106
97,Nanortalik,60.1432,-45.2371,33.8,91,27,6.42,GL,1619574106
98,Port Elizabeth,-33.918,25.5701,60.8,88,75,6.91,ZA,1619574107
99,Bajil,15.0584,43.2851,84.27,63,90,3.91,YE,1619574107
100,Norman Wells,65.282,-126.8329,28.4,29,75,13.8,CA,1619574108
101,Saint Paul Harbor,57.79,-152.4072,44.6,76,90,23.02,US,1619574108
102,Yulara,-25.2406,130.9889,69.8,32,0,14.97,AU,1619574108
103,Kavieng,-2.5744,150.7967,84.15,69,36,6.38,PG,1619574109
104,Koch Bihār,26.3167,89.4333,88.61,32,0,6.64,IN,1619574109
105,Haines Junction,60.7522,-137.5108,39.2,24,49,8.05,CA,1619574109
106,Mataura,-46.1927,168.8643,55.99,86,100,15.01,NZ,1619574110
107,Ancud,-41.8697,-73.8203,55.0,94,90,2.3,CL,1619574110
108,San Jose,37.3394,-121.895,69.8,34,20,13.8,US,1619573983
109,Tasiilaq,65.6145,-37.6368,37.4,70,20,11.5,GL,1619574110
110,Aloleng,16.1307,119.7824,84.7,60,64,2.33,PH,1619574111
111,Leningradskiy,69.3833,178.4167,25.21,82,33,9.89,RU,1619574111
112,Kapaa,22.0752,-159.319,78.01,83,90,12.66,US,1619574112
113,Fortuna,40.5982,-124.1573,59.0,82,1,12.66,US,1619574112
114,Dryden,49.7833,-92.7503,51.8,54,1,5.75,CA,1619574113
115,Umm Kaddadah,13.6017,26.6876,76.62,16,92,13.78,SD,1619574113
116,Planaltina,-15.4528,-47.6142,69.8,83,0,3.44,BR,1619574113
117,Alofi,-19.0595,-169.9187,84.2,79,75,11.5,NU,1619574114
118,Broome,42.2506,-75.833,64.4,39,20,5.75,US,1619574114
119,Honiara,-9.4333,159.95,82.42,80,98,2.15,SB,1619574114
120,Dikson,73.5069,80.5464,31.89,94,100,18.5,RU,1619574115
121,Pangnirtung,66.1451,-65.7125,14.59,88,6,7.07,CA,1619574115
122,Sisimiut,66.9395,-53.6735,31.62,92,22,4.99,GL,1619574116
123,Wanning,18.8003,110.3967,82.56,71,51,2.1,CN,1619574116
124,Almaznyy,48.0448,40.045,46.4,81,40,11.18,RU,1619574116
125,Souillac,-20.5167,57.5167,77.0,88,75,11.5,MU,1619574117
126,Iqaluit,63.7506,-68.5145,21.2,79,1,2.3,CA,1619574117
127,Chokurdakh,70.6333,147.9167,29.32,96,100,5.35,RU,1619574117
128,Esperance,-33.8667,121.9,64.4,100,56,1.72,AU,1619574118
129,Tuktoyaktuk,69.4541,-133.0374,19.4,63,1,8.05,CA,1619574118
130,Seoul,37.5683,126.9778,60.8,72,75,5.75,KR,1619574074
131,Severo-Kuril'sk,50.6789,156.125,34.29,95,100,17.02,RU,1619574119
132,Marrakesh,31.6315,-8.0083,62.6,72,75,3.44,MA,1619574080
133,Bluff,-46.6,168.3333,55.99,86,84,15.01,NZ,1619574119
134,Yumen,40.2833,97.2,59.68,13,94,23.85,CN,1619574119
135,Bambous Virieux,-20.3428,57.7575,77.0,88,75,11.5,MU,1619574120
136,Narsaq,60.9167,-46.05,41.0,70,4,6.91,GL,1619574120
137,Guerrero Negro,27.9769,-114.0611,59.88,71,0,17.52,MX,1619574121
138,Lorengau,-2.0226,147.2712,85.98,65,12,7.18,PG,1619574121
139,Zhireken,52.8249,117.3076,30.76,45,100,9.46,RU,1619574121
140,Bagdarin,54.4333,113.6,26.24,45,100,9.24,RU,1619574122
141,Bayonet Point,28.3267,-82.6834,77.0,60,2,14.94,US,1619574080
142,Luwuk,-0.9516,122.7875,86.09,65,3,3.51,ID,1619574122
143,Vardø,70.3705,31.1107,28.98,70,100,17.65,NO,1619574123
144,Half Moon Bay,37.4636,-122.4286,62.6,82,1,12.66,US,1619574123
145,Sinnamary,5.3833,-52.95,75.72,89,99,3.94,GF,1619574123
146,Griffith,41.5284,-87.4237,80.6,53,1,18.41,US,1619574124
147,Saldanha,-33.0117,17.9442,55.4,88,83,4.61,ZA,1619574124
148,Minsk,53.9,27.5667,39.2,93,75,4.47,BY,1619573990
149,Cherskiy,68.75,161.3,29.25,80,96,13.4,RU,1619574125
150,Najrān,17.4924,44.1277,71.6,68,40,1.86,SA,1619574125
151,Mount Gambier,-37.8333,140.7667,59.0,77,100,5.75,AU,1619574126
152,Tandil,-37.3217,-59.1332,54.0,87,0,5.48,AR,1619574126
153,Busselton,-33.65,115.3333,69.94,70,3,1.99,AU,1619574126
154,Sur,22.5667,59.5289,86.94,33,95,9.73,OM,1619573996
155,Tuatapere,-46.1333,167.6833,55.99,86,98,15.01,NZ,1619574127
156,Namatanai,-3.6667,152.4333,83.61,74,37,7.65,PG,1619574127
157,Kruisfontein,-34.0033,24.7314,54.0,92,100,1.01,ZA,1619574128
158,Northam,51.0333,-4.2167,46.0,87,93,1.99,GB,1619574128
159,Broken Hill,-31.95,141.4333,68.0,34,22,8.05,AU,1619574129
160,Haimen,23.1935,116.6142,73.4,83,75,4.47,CN,1619574129
161,Vanimo,-2.6741,141.3028,86.41,63,6,3.62,PG,1619574129
162,Colorines,19.2,-100.1667,73.4,25,75,11.5,MX,1619574130
163,Port Alfred,-33.5906,26.891,64.83,77,100,9.22,ZA,1619574130
164,Nizhneangarsk,55.7833,109.55,25.52,52,30,10.56,RU,1619574130
165,Ortigueira,-24.2083,-50.9494,53.6,72,0,0.58,BR,1619574131
166,Carutapera,-1.195,-46.02,77.52,87,100,4.68,BR,1619574131
167,Hasaki,35.7333,140.8333,73.0,53,75,12.66,JP,1619574132
168,Alice Springs,-23.7,133.8833,73.99,32,0,12.66,AU,1619574115
169,Pizarro,4.9533,-77.366,76.23,93,100,6.42,CO,1619574133
170,Capreol,46.706,-80.9225,51.8,54,90,8.05,CA,1619574133
171,Okha,53.5739,142.9478,33.6,67,28,16.6,RU,1619574133
172,Port Said,31.2565,32.2841,64.4,82,20,5.75,EG,1619574134
173,Kiama,-34.6833,150.8667,71.01,72,64,7.0,AU,1619574134
174,Castro,-24.7911,-50.0119,53.01,87,0,3.09,BR,1619574135
175,Kuching,1.55,110.3333,78.8,94,20,3.8,MY,1619574135
176,Ballina,-28.8667,153.5667,64.4,94,90,9.22,AU,1619574136
177,Ola,59.5833,151.2833,28.83,68,10,0.56,RU,1619574136
178,Nome,64.5011,-165.4064,39.99,65,1,3.44,US,1619574136
179,Port Macquarie,-31.4333,152.9167,73.0,56,9,7.96,AU,1619574137
180,Vidim,56.4088,103.1106,32.97,56,13,5.46,RU,1619574137
181,Raja,8.4596,25.678,78.57,52,73,3.06,SS,1619574137
182,Tezu,27.9167,96.1667,90.77,21,24,3.18,IN,1619574138
183,Hay River,60.8156,-115.7999,17.6,45,82,4.61,CA,1619574138
184,Westport,41.1415,-73.3579,55.0,58,1,4.85,US,1619573853
185,Torbay,47.6666,-52.7314,42.8,87,90,6.91,CA,1619574139
186,Lompoc,34.6391,-120.4579,60.8,55,0,12.66,US,1619574139
187,Birin,26.8865,88.0718,74.73,21,0,3.94,NP,1619574139
188,Mossamedes,-15.1961,12.1522,76.05,67,87,9.28,AO,1619574070
189,Machilipatnam,16.1667,81.1333,82.4,65,9,4.61,IN,1619574140
190,Waddān,29.1614,16.139,78.78,14,17,8.57,LY,1619574140
191,Rockland,41.1668,-74.0496,57.99,47,96,4.18,US,1619574141
192,Garissa,-0.4536,39.6401,77.88,82,83,12.12,KE,1619574141
193,Jiangyou,31.7667,104.7167,68.61,53,74,3.96,CN,1619574141
194,Garoowe,8.4054,48.4845,77.11,76,73,11.61,SO,1619574142
195,Beyneu,45.3167,55.2,57.2,63,63,9.55,KZ,1619574142
196,Stephenville,32.2207,-98.2023,73.4,83,90,13.8,US,1619574081
197,Fethiye,36.6217,29.1164,48.2,93,0,5.75,TR,1619574143
198,Rosarito,32.3333,-117.0333,62.6,55,1,18.41,MX,1619574143
199,Constantine,36.365,6.6147,53.6,82,40,4.61,DZ,1619574144
200,Astoria,46.1879,-123.8313,55.4,67,1,5.75,US,1619574144
201,Batagay-Alyta,67.8006,130.4114,16.16,69,36,3.0,RU,1619574144
202,Tupik,54.4253,119.9327,24.28,90,100,15.66,RU,1619574145
203,Thinadhoo,0.5333,72.9333,82.2,66,100,2.98,MV,1619574145
204,Hue,16.4667,107.6,80.6,78,20,2.3,VN,1619574145
205,Darnah,32.767,22.6367,75.94,27,10,27.56,LY,1619574146
206,Meulaboh,4.1363,96.1285,81.34,79,95,4.16,ID,1619574146
207,Geraldton,-28.7667,114.6,68.0,56,1,3.44,AU,1619574146
208,Saint-Augustin,51.226,-58.6502,36.66,99,100,2.24,CA,1619574147
209,Mercedes,-34.6515,-59.4307,57.0,80,4,1.99,AR,1619574147
210,Klaksvík,62.2266,-6.589,37.4,87,75,6.91,FO,1619574148
211,Arraial do Cabo,-22.9661,-42.0278,73.06,84,95,10.78,BR,1619574148
212,Santa Cruz de la Sierra,-17.8,-63.1667,66.2,77,75,4.61,BO,1619574000
213,Ambulu,-8.345,113.6058,82.92,61,19,4.05,ID,1619574148
214,Mtambile,-5.3833,39.7,78.04,84,76,5.37,TZ,1619574149
215,La Grande,45.3246,-118.0877,59.0,35,1,5.32,US,1619574122
216,Aginskoye,51.1,114.53,31.86,42,100,17.38,RU,1619574149
217,Benguela,-12.5763,13.4055,78.64,79,88,4.43,AO,1619574150
218,Aksu,41.1231,80.2644,66.29,17,0,2.01,CN,1619574150
219,Ghorāwal,24.7667,82.7833,89.38,5,0,9.1,IN,1619574150
220,Faanui,-16.4833,-151.75,81.86,72,45,10.51,PF,1619574151
221,Epe,6.5841,3.9834,79.57,90,100,5.82,NG,1619574151
222,Buala,-8.145,159.5921,83.26,75,78,4.0,SB,1619574152
223,Ziro,27.6333,93.8333,59.58,60,73,4.27,IN,1619574152
224,Hambantota,6.1241,81.1185,77.0,100,20,2.3,LK,1619574152
225,Kalga,50.9251,118.898,31.24,64,100,11.41,RU,1619574153
226,Lugoba,-6.45,38.3333,70.32,97,89,3.15,TZ,1619574153
227,Fairbanks,64.8378,-147.7164,48.2,17,1,10.36,US,1619574153
228,San Patricio,28.017,-97.5169,77.0,94,90,16.11,US,1619574154
229,Solwezi,-12.1688,26.3894,58.95,96,52,3.36,ZM,1619574154
230,Aquin,18.2833,-73.4,76.55,76,9,1.43,HT,1619574154
231,Sept-Îles,50.2001,-66.3821,45.0,87,75,5.75,CA,1619574049
232,Oistins,13.0667,-59.5333,78.8,65,40,11.5,BB,1619574046
233,Ixtapa,20.7,-105.2,77.0,83,40,12.66,MX,1619574155
234,Iringa,-7.7667,35.7,62.6,88,20,4.56,TZ,1619574155
235,Manicoré,-5.8092,-61.3003,78.8,94,0,1.21,BR,1619574156
236,Touros,-5.1989,-35.4608,77.0,88,20,3.44,BR,1619574156
237,Jackson,42.4165,-122.8345,72.0,15,1,5.75,US,1619574157
238,Cidreira,-30.1811,-50.2056,59.22,77,3,7.87,BR,1619574157
239,Bundaberg,-24.85,152.35,81.0,53,40,17.27,AU,1619574157
240,Tommot,58.9564,126.2925,25.65,87,100,7.31,RU,1619574158
241,Kearney,40.6995,-99.0815,57.2,67,90,16.11,US,1619574158
242,Kalawit,8.0667,122.5167,85.98,67,98,4.56,PH,1619574158
243,Yerbogachën,61.2767,108.0108,30.83,58,11,2.95,RU,1619574159
244,Panjāb,34.388,67.0233,51.37,48,0,1.5,AF,1619574159
245,St. George's,12.0564,-61.7485,80.6,78,20,21.85,GD,1619573959
246,Feijó,-8.1642,-70.3536,71.11,94,95,2.86,BR,1619574160
247,Anuradhapura,8.3565,80.4173,79.47,86,92,6.11,LK,1619574160
248,Smithers,54.7804,-127.1743,44.6,81,90,5.75,CA,1619573900
249,Point Pleasant,40.0832,-74.0682,55.99,76,1,3.44,US,1619574161
250,College,64.8569,-147.8028,48.2,20,75,5.75,US,1619573947
251,Kamariótissa,40.4833,25.4667,55.4,88,20,7.36,GR,1619574161
252,Misratah,32.3754,15.0925,79.09,34,75,13.67,LY,1619574162
253,Kishtwār,33.3167,75.7667,61.93,44,3,3.31,IN,1619574162
254,Moose Factory,51.2585,-80.6094,37.4,60,90,5.75,CA,1619574163
255,Port Blair,11.6667,92.75,78.8,89,40,3.0,IN,1619574163
256,Šitbořice,49.0143,16.7798,45.0,42,0,11.5,CZ,1619574163
257,Ponta Delgada,37.7333,-25.6667,59.0,82,75,6.91,PT,1619574164
258,Emba,48.8264,58.1442,45.66,80,49,6.69,KZ,1619574164
259,Lebu,-37.6167,-73.65,54.84,95,28,2.04,CL,1619574164
260,Sukumo,32.9333,132.7333,62.98,94,100,5.35,JP,1619574165
261,Te Anau,-45.4167,167.7167,45.97,85,100,1.57,NZ,1619574165
262,Dakoro,14.5106,6.765,82.27,11,2,9.62,NE,1619574165
263,Dorado,18.4588,-66.2677,73.99,98,2,9.86,PR,1619574166
264,Lewistown,40.5992,-77.5714,66.2,45,1,5.14,US,1619574166
265,Tazovsky,67.4667,78.7,32.29,96,100,8.41,RU,1619574167
266,Mombetsu,44.3525,143.3525,46.4,66,75,4.61,JP,1619574167
267,Kuril'sk,45.2333,147.8833,37.63,53,42,3.51,RU,1619574167
268,Harper,4.375,-7.7169,79.74,86,100,7.11,LR,1619574168
269,Aripuanã,-9.1667,-60.6333,71.82,98,41,1.34,BR,1619574168
270,Lavrentiya,65.5833,-171.0,32.13,93,100,4.25,RU,1619574168
271,Mataram,-8.5833,116.1167,84.2,58,20,8.05,ID,1619574169
272,Goderich,43.7501,-81.7165,57.2,67,100,13.8,CA,1619574169
273,Ambon City,-3.6954,128.1814,87.8,62,20,3.44,ID,1619574169
274,Kushima,31.4583,131.2333,64.4,94,75,1.14,JP,1619574170
275,Talnakh,69.4865,88.3972,27.63,80,100,11.07,RU,1619574170
276,Jasper,37.2001,-94.3502,71.6,78,75,10.36,US,1619574171
277,Petrolia,42.8668,-82.1498,68.0,52,90,8.12,CA,1619574171
278,Agüimes,27.9054,-15.4461,66.0,68,40,3.44,ES,1619574171
279,La Palma,33.8464,-118.0467,64.99,63,20,14.97,US,1619574172
280,Harindānga,22.0383,88.3214,84.2,89,20,5.75,IN,1619574172
281,Novikovo,51.1537,37.8879,35.17,74,100,6.17,RU,1619574173
282,Zhalantun,48.0,122.7167,49.1,24,100,13.38,CN,1619574173
283,Serdobsk,52.4586,44.2169,33.22,83,22,10.2,RU,1619574173
284,Prado,-17.3411,-39.2208,74.84,78,15,6.8,BR,1619574174
285,Kawalu,-7.3817,108.2082,78.57,81,55,3.69,ID,1619574174
286,Yar-Sale,66.8333,70.8333,31.6,93,100,4.09,RU,1619574174
287,Karratha,-20.7377,116.8463,87.6,18,0,16.98,AU,1619574175
288,Vila Franca do Campo,37.7167,-25.4333,59.0,82,75,6.91,PT,1619574175
289,Khromtau,50.2503,58.4347,40.28,90,54,5.97,KZ,1619574175
290,Novy Urengoy,66.0833,76.6333,32.04,99,100,2.44,RU,1619574176
291,Linqiong,30.4159,103.4609,66.0,94,20,4.47,CN,1619574176
292,Atar,20.5169,-13.0499,79.45,25,97,5.75,MR,1619574176
293,Zilair,52.2332,57.4392,36.79,94,91,4.81,RU,1619574177
294,Shambu,9.5667,37.1,54.09,80,100,2.46,ET,1619574177
