,City,Lat,Long,Max Temp (F),Humidity (%),Cloudiness (%),Windspeed (mph),Country,Date
295,Kaitangata,-46.2817,169.8464,55.99,70,99,4.0,NZ,1619574177
296,Barabinsk,55.3571,78.357,45.7,98,100,7.16,RU,1619574178
297,Wilmington,34.2257,-77.9447,69.8,73,1,11.5,US,1619573955
298,Adrar,20.5022,-10.0711,79.27,21,26,13.94,MR,1619574178
299,Fraga,41.5229,0.3489,55.99,100,100,2.3,ES,1619574179
300,São Filipe,14.8961,-24.4956,72.09,76,2,10.54,CV,1619574179
301,Rawson,-43.3002,-65.1023,65.71,39,73,10.45,AR,1619574180
302,Kudat,6.8837,116.8477,84.2,79,20,3.44,MY,1619574180
303,Tecuala,22.3986,-105.4569,74.43,71,49,4.97,MX,1619574180
304,Sakaiminato,35.55,133.2333,66.2,77,75,9.22,JP,1619574182
305,Bereda,43.2686,-7.5406,50.0,97,100,5.99,ES,1619574173
306,Zhaodong,46.0833,125.9833,53.6,40,0,13.42,CN,1619574182
307,Mīnāb,27.1467,57.0801,73.4,60,4,6.91,IR,1619574183
308,Sitka,57.0531,-135.33,46.4,76,90,3.44,US,1619574183
309,Kinsale,51.7075,-8.5306,45.0,87,75,10.36,IE,1619574183
310,Nemuro,43.3236,145.575,59.0,33,0,10.36,JP,1619574184
311,Beled,47.4659,17.0929,45.0,93,100,4.61,HU,1619574184
312,Huarmey,-10.0681,-78.1522,67.24,88,87,8.86,PE,1619574184
313,Gigmoto,13.7796,124.39,82.36,63,100,7.07,PH,1619574185
314,Aden,12.7794,45.0367,83.05,80,100,16.15,YE,1619573970
315,Arrondissement de Dreux,48.6667,1.25,43.0,81,1,4.61,FR,1619574185
316,Bandarbeyla,9.4942,50.8122,82.69,75,99,3.87,SO,1619574185
317,Oranjemund,-28.55,16.4333,56.73,95,51,4.36,NA,1619574186
318,George Town,5.4112,100.3354,84.2,83,20,4.61,MY,1619574004
319,Dingle,10.9995,122.6711,81.16,71,100,9.69,PH,1619574186
320,Oudtshoorn,-33.5907,22.2014,57.2,100,90,2.3,ZA,1619574187
321,Hofn,64.2539,-15.2082,41.04,63,8,15.99,IS,1619574187
322,Tomatlán,19.9333,-105.25,74.57,74,100,4.09,MX,1619574187
323,Santa Isabel,-23.3156,-46.2214,64.4,88,75,4.61,BR,1619574188
324,Ribeira Grande,38.5167,-28.7,59.97,84,57,13.85,PT,1619574188
325,Lata,40.1629,-8.3327,59.0,87,59,1.01,PT,1619574188
326,Chui,-33.6971,-53.4616,52.66,82,0,6.06,UY,1619574189
327,Husavik,66.0449,-17.3389,32.86,88,25,8.3,IS,1619574189
328,Muswellbrook,-32.2667,150.9,69.17,52,100,4.29,AU,1619574190
329,Raudeberg,61.9875,5.1352,37.99,79,14,16.06,NO,1619574190
330,Labuan,5.2767,115.2417,84.2,84,20,3.44,MY,1619574190
331,Orán,-23.1322,-64.326,66.0,90,100,1.3,AR,1619574191
332,Charters Towers,-20.1,146.2667,75.79,53,43,13.51,AU,1619574191
333,Haileybury,47.449,-79.6373,50.0,57,75,4.61,CA,1619574192
334,Altay,47.8667,88.1167,51.39,44,69,1.72,CN,1619574192
335,Thohoyandou,-22.9456,30.485,63.91,41,0,1.61,ZA,1619574192
336,Poronaysk,49.2167,143.1167,38.84,65,100,10.54,RU,1619574193
337,Suileng,47.25,127.0833,56.62,16,0,13.96,CN,1619574193
338,Portsmouth,50.799,-1.0913,48.0,86,100,7.07,GB,1619573913
339,Morón,-34.6534,-58.6198,63.0,83,0,4.47,AR,1619574194
340,Tramandaí,-29.9847,-50.1336,57.15,79,0,7.58,BR,1619574194
341,São João da Barra,-21.6403,-41.0511,70.21,96,73,8.41,BR,1619574194
342,Saint George,37.1041,-113.5841,64.4,32,20,18.41,US,1619574071
343,Aklavik,68.2191,-135.0107,30.2,34,6,5.75,CA,1619574195
344,Xaçmaz,41.4635,48.806,49.23,86,100,2.46,AZ,1619574195
345,Businga,3.3333,20.8833,70.38,93,98,3.22,CD,1619574196
346,Santa Maria,-29.6842,-53.8069,51.8,100,0,1.14,BR,1619574196
347,Kumul,42.8,93.45,61.93,13,100,3.15,CN,1619574197
348,Camacha,33.0833,-16.3333,62.6,82,40,9.22,PT,1619574197
349,Selma,36.5708,-119.6121,71.6,24,40,4.61,US,1619574170
350,Kirakira,-10.4544,161.9205,83.55,70,96,6.04,SB,1619574198
351,San Cristobal,7.7669,-72.225,78.8,100,40,4.61,VE,1619574199
352,Mbanza-Ngungu,-5.25,14.8667,68.14,96,100,3.38,CD,1619574199
353,Safi,32.2994,-9.2372,61.99,84,8,0.89,MA,1619574199
354,Arawa,-6.2132,155.5367,85.91,69,67,2.13,PG,1619574200
355,Zafra,38.4167,-6.4167,55.99,89,23,4.0,ES,1619574200
356,Katsuura,35.1333,140.3,71.6,56,75,24.16,JP,1619574200
357,Richards Bay,-28.783,32.0377,71.76,85,96,10.29,ZA,1619574118
358,Chapais,49.7834,-74.8492,48.2,53,90,4.61,CA,1619574201
359,Datong,40.0936,113.2914,51.33,20,20,17.9,CN,1619574201
360,Litovko,49.2361,135.1742,53.64,77,100,4.92,RU,1619574201
361,Luanda,-8.8368,13.2343,75.2,88,40,12.66,AO,1619574104
362,Vestmanna,62.1564,-7.1664,37.4,87,75,6.91,FO,1619574202
363,Dakar,14.6937,-17.4441,68.0,94,96,16.11,SN,1619574203
364,Shenjiamen,29.9576,122.298,62.11,90,100,7.09,CN,1619574203
365,Ponta do Sol,32.6667,-17.1,57.99,82,100,1.99,PT,1619574203
366,Māngrol,21.1167,70.1167,81.21,72,0,10.25,IN,1619574204
367,Ussel,45.55,2.3167,53.01,39,100,2.57,FR,1619574204
368,Saint-François,46.4154,3.9054,50.0,81,0,2.3,FR,1619574205
369,Ayr,55.4627,-4.6339,39.2,87,20,5.75,GB,1619574094
370,Makat,47.6469,53.3463,47.16,72,6,6.71,KZ,1619574205
371,Al Bardīyah,31.7561,25.0865,69.17,34,0,9.98,LY,1619574205
372,Quatre Cocos,-20.2078,57.7625,77.0,88,75,11.5,MU,1619574206
373,Ulaangom,49.9811,92.0667,47.55,38,100,2.15,MN,1619574206
374,Bara,10.3744,10.7288,83.1,39,61,6.46,NG,1619574206
375,Tongzi,28.7829,105.0877,61.63,86,100,9.35,CN,1619574207
376,Río Tercero,-32.173,-64.1141,53.01,84,0,1.01,AR,1619574207
377,Palmer,42.1584,-72.3287,57.2,35,40,4.61,US,1619574208
378,Santa Cruz de Barahona,18.2085,-71.1008,77.0,77,33,6.11,DO,1619574208
379,Pevek,69.7008,170.3133,22.95,88,100,9.6,RU,1619574208
380,Bedēsa,8.9,40.7833,62.47,86,87,3.22,ET,1619574209
381,Stromness,58.965,-3.296,41.0,81,20,9.22,GB,1619574209
382,Toktogul,41.8708,72.9402,60.98,50,0,2.82,KG,1619574210
383,Čadca,49.435,18.789,32.0,80,0,2.3,SK,1619574210
384,Zhigansk,66.7697,123.3711,20.41,78,10,5.21,RU,1619574210
385,Rincon,32.296,-81.2354,69.8,73,75,6.91,US,1619574211
386,Provideniya,64.3833,-173.3,32.0,86,90,4.47,RU,1619574211
387,Lukulu,-14.3707,23.242,65.07,82,91,4.52,ZM,1619574211
388,Stawell,-37.05,142.7667,63.52,51,10,3.11,AU,1619574212
389,Ginir,7.1333,40.7,57.7,89,75,3.58,ET,1619574212
390,Porto-Novo,6.4965,2.6036,80.98,85,100,7.14,BJ,1619574213
391,Lewiston,44.1003,-70.2148,57.2,18,1,6.91,US,1619574213
392,Ust-Nera,64.5667,143.2,32.0,91,100,4.09,RU,1619574213
393,Vokhtoga,58.8147,41.0461,31.48,90,93,3.94,RU,1619574214
394,Vila Velha,-20.3297,-40.2925,77.0,78,20,5.75,BR,1619574214
395,North Battleford,52.7834,-108.2847,37.4,41,1,13.8,CA,1619574215
396,Hamilton,39.1834,-84.5333,72.0,55,1,5.75,US,1619573991
397,Ilulissat,69.2167,-51.1,35.6,69,90,3.44,GL,1619574215
398,Taoudenni,22.6783,-3.9836,89.85,17,59,10.27,ML,1619574215
399,Luena,-11.7833,19.9167,59.49,94,9,1.03,AO,1619574216
400,Woodway,31.506,-97.205,75.2,78,90,17.27,US,1619574216
401,Tura,25.5198,90.2201,84.78,50,0,7.36,IN,1619574216
402,Aksarka,66.5606,67.7975,31.44,97,100,8.41,RU,1619574217
403,Sechura,-5.5569,-80.8222,71.35,72,100,14.54,PE,1619574217
404,Sistranda,63.7256,8.834,32.0,93,40,4.61,NO,1619574217
405,Kütahya,39.4242,29.9833,44.6,93,0,3.44,TR,1619574218
406,Hobyo,5.3505,48.5268,83.61,74,37,8.63,SO,1619574218
407,Cabedelo,-6.9811,-34.8339,77.0,94,20,4.61,BR,1619574218
408,Mildura,-34.2,142.15,71.01,37,72,1.14,AU,1619574219
409,Necochea,-38.5473,-58.7368,57.99,86,0,5.01,AR,1619574219
410,Ha Tinh,18.3333,105.9,79.59,81,75,2.82,VN,1619574219
411,Skibbereen,51.55,-9.2667,44.6,87,75,10.36,IE,1619574220
412,Ariquemes,-9.9133,-63.0408,71.82,96,21,3.0,BR,1619574220
413,Pochutla,15.7432,-96.4661,82.99,79,0,3.0,MX,1619574220
414,Geseke,51.65,8.5167,44.6,45,0,8.05,DE,1619574221
415,Greenville,35.6127,-77.3663,71.6,49,1,10.36,US,1619574221
416,Shelburne,44.0787,-80.2041,53.6,43,1,5.75,CA,1619574221
417,Fallon,39.4735,-118.7774,55.4,33,40,10.36,US,1619574222
418,Coyhaique,-45.5752,-72.0662,48.2,76,40,6.91,CL,1619574222
419,Catalina,32.5056,-110.9211,61.0,64,20,10.0,US,1619574222
420,Two Rivers,44.1539,-87.5693,46.4,87,75,9.22,US,1619574223
421,Ponte de Sôr,39.2496,-8.0101,55.0,88,10,1.01,PT,1619574223
422,Botwood,49.1499,-55.3482,41.0,78,100,4.0,CA,1619574223
423,Lālmohan,22.3384,90.7419,85.59,67,20,9.26,BD,1619574224
424,Salimbalan,8.2742,124.7219,82.99,78,47,5.01,PH,1619574224
425,Oktyabr'skiy,54.4815,53.471,37.72,86,29,7.14,RU,1619574224
426,Mpongwe,-13.5091,28.155,61.2,84,32,4.52,ZM,1619574225
427,Belūsovka,50.1339,82.5239,59.0,33,75,8.95,KZ,1619574225
428,Tocopilla,-22.092,-70.1979,65.97,73,26,3.02,CL,1619574225
429,Mongo,12.1844,18.693,81.91,11,7,5.95,TD,1619574226
430,Port-Cartier,50.0334,-66.8654,45.0,87,75,5.75,CA,1619574006
431,Nacala,-14.5428,40.6728,73.49,97,14,5.01,MZ,1619574226
432,Lagoa,39.05,-27.9833,59.72,77,100,11.77,PT,1619574227
433,Santa Lucía,27.9117,-15.5407,64.99,68,40,3.44,ES,1619574227
434,Kétou,7.3633,2.5998,77.85,90,100,5.46,BJ,1619574227
435,Gushikawa,26.3544,127.8686,75.2,69,75,11.5,JP,1619574228
436,Songjianghe,42.1859,127.479,53.2,22,45,16.71,CN,1619574228
437,Port Hedland,-20.3167,118.5667,89.6,13,0,16.11,AU,1619574228
438,Kuvshinovo,57.0295,34.1725,33.44,97,100,4.99,RU,1619574229
439,Buraidah,26.326,43.975,78.8,44,40,4.61,SA,1619574229
440,Siverskiy,59.3544,30.0783,33.8,86,90,4.47,RU,1619574229
441,Oranjestad,12.524,-70.027,81.0,78,20,13.8,AW,1619574230
442,Naranjos,21.35,-97.6833,76.39,89,64,12.97,MX,1619574230
443,Norfolk,42.1668,-71.2495,61.0,39,90,3.44,US,1619574230
444,Santa Fe,-31.6333,-60.7,63.0,72,0,4.54,AR,1619574147
445,Salalah,17.0151,54.0924,82.4,74,0,2.3,OM,1619574231
446,Takoradze,4.8845,-1.7554,81.43,85,86,8.01,GH,1619574231
447,Houma,29.5958,-90.7195,77.0,88,90,9.22,US,1619574232
448,Severobaykal'sk,55.65,109.3167,26.22,53,12,8.39,RU,1619574232
449,Cockburn Town,21.4612,-71.1419,78.31,74,41,18.1,TC,1619573997
450,Fjerritslev,57.0813,9.2664,39.0,86,96,3.44,DK,1619574232
451,Eyl,7.9803,49.8164,82.98,73,34,4.29,SO,1619574233
452,San Fernando del Valle de Catamarca,-28.4696,-65.7852,52.0,89,0,3.0,AR,1619574233
453,Poum,-20.2333,164.0167,76.6,61,0,20.78,NC,1619574234
454,Mata,40.683,-7.4592,54.0,90,89,2.91,PT,1619574234
455,Nicolás R Casillas,20.5333,-103.4667,82.4,15,75,8.05,MX,1619574234
456,Codrington,-38.2667,141.9667,60.53,62,100,4.36,AU,1619574235
457,Mujiayingzi,42.1167,118.7833,53.62,15,0,22.7,CN,1619574235
458,Kavaratti,10.5669,72.642,83.91,72,5,4.83,IN,1619574236
459,Caconda,-13.7333,15.0667,58.06,76,39,0.51,AO,1619574236
460,Şabyā,17.1495,42.6254,86.0,70,20,4.5,SA,1619574236
461,Srīvardhan,18.0333,73.0167,82.65,67,0,3.04,IN,1619574237
462,Walvis Bay,-22.9575,14.5053,60.01,94,0,6.91,NA,1619574237
463,Gondanglegi,-7.7479,112.0132,83.16,67,40,9.51,ID,1619574237
464,Constitución,-35.3333,-72.4167,57.38,66,6,8.3,CL,1619574238
465,Dukat,62.55,155.55,28.27,70,0,4.09,RU,1619574238
466,Praia da Vitória,38.7333,-27.0667,59.0,88,75,8.1,PT,1619574239
467,Iralaya,15.0,-83.2333,79.43,76,85,8.75,HN,1619574239
468,Beira,-19.8436,34.8389,75.2,94,20,5.1,MZ,1619574239
469,Kaseda-shirakame,31.4167,130.3167,62.6,94,75,1.14,JP,1619574240
470,Tromsø,69.6496,18.957,28.4,93,75,3.44,NO,1619574240
471,Somerset,40.5668,-74.5496,59.0,47,1,3.13,US,1619574173
472,Comodoro Rivadavia,-45.8667,-67.5,64.4,48,0,12.66,AR,1619574241
473,Bakel,14.905,-12.4568,91.18,12,20,12.66,SN,1619574241
474,Taganak,6.0833,118.3,84.2,74,20,5.75,PH,1619574242
475,Dudinka,69.4058,86.1778,32.9,92,100,15.26,RU,1619574242
476,Pilot Butte,50.4668,-104.4178,59.0,25,73,17.27,CA,1619574243
477,Berlevåg,70.8578,29.0864,27.43,71,100,17.34,NO,1619574243
478,Nantucket,41.2835,-70.0995,50.0,62,1,13.8,US,1619574243
479,Ostrovnoy,68.0531,39.5131,22.17,86,100,8.01,RU,1619574244
480,Jacareacanga,-6.2222,-57.7528,72.59,99,100,2.21,BR,1619574244
481,Gravataí,-29.9444,-50.9919,63.0,93,0,2.13,BR,1619574244
482,Tevriz,57.509,72.4042,44.78,57,100,1.16,RU,1619574245
483,Barsovo,61.1667,73.1667,37.4,81,0,6.71,RU,1619574245
484,Barra do Corda,-5.5,-45.25,74.37,93,100,2.8,BR,1619574245
485,Londiani,-0.165,35.5909,51.82,96,86,3.44,KE,1619574246
486,Burglengenfeld,49.2056,12.0414,41.0,74,1,2.62,DE,1619574246
487,São Gabriel da Cachoeira,-0.1303,-67.0892,72.9,99,100,1.43,BR,1619574246
488,Viedma,-40.8135,-62.9967,64.8,59,75,11.07,AR,1619574135
489,Hirara,24.8,125.2833,77.0,65,40,12.66,JP,1619574247
490,Pavlodar,52.3,76.95,68.0,24,40,17.9,KZ,1619574247
491,Bertem,50.8519,4.6192,44.6,53,0,3.44,BE,1619574248
492,Phan Thiet,10.9333,108.1,84.7,68,100,9.01,VN,1619574248
493,Mbandaka,0.0487,18.2603,72.46,94,100,2.35,CD,1619574248
494,Wana,32.2989,69.5725,72.99,31,37,2.86,PK,1619574249
495,Ekenäs,59.9736,23.4339,28.99,83,17,25.01,FI,1619574249
496,Elizabeth City,36.2946,-76.2511,71.6,60,1,11.5,US,1619574250
497,São Fidélis,-21.6461,-41.7469,69.12,98,38,2.8,BR,1619574250
498,Qorveh,35.1664,47.8045,51.85,59,96,4.72,IR,1619574250
499,Iskateley,67.6803,53.1512,24.24,74,95,7.18,RU,1619574251
500,Kenai,60.5544,-151.2583,60.8,28,1,10.36,US,1619574251
501,Marsh Harbour,26.5412,-77.0636,73.78,63,88,18.59,BS,1619574251
502,Along,28.1667,94.7667,81.45,44,95,1.7,IN,1619574252
503,Omsukchan,62.5333,155.8,28.65,71,0,4.7,RU,1619574252
504,Hailey,43.5196,-114.3153,55.4,35,20,4.85,US,1619574252
505,Madera,37.1666,-119.8343,66.0,42,25,1.01,US,1619574253
506,Krasnoarmeysk,51.0239,45.6969,42.01,51,94,7.09,RU,1619574253
507,Pechenga,69.5259,31.1703,26.6,93,90,14.97,RU,1619574253
508,Muyezerskiy,63.9333,31.65,26.91,78,71,2.71,RU,1619574254
509,Saint-Pierre,-21.3393,55.4781,77.0,73,0,4.61,RE,1619574254
510,Meadow Lake,34.8014,-106.5436,62.6,20,40,9.22,US,1619574255
511,Bathsheba,13.2167,-59.5167,78.8,65,40,11.5,BB,1619574255
512,Taylorville,39.5489,-89.2945,73.99,67,100,1.01,US,1619574174
513,Örnsköldsvik,63.2909,18.7153,30.2,100,90,3.44,SE,1619574255
514,Wahpeton,46.2652,-96.6059,55.4,62,90,6.62,US,1619574256
515,Paracuru,-3.41,-39.0306,82.0,73,97,14.0,BR,1619574256
516,Ishigaki,24.3448,124.1572,77.0,65,75,11.5,JP,1619574257
517,Manggar,-2.8833,108.2667,85.14,69,99,7.36,ID,1619574257
518,La Purisima,28.1168,-110.718,77.0,32,3,8.99,MX,1619574257
519,Tankhoy,51.5528,105.1306,35.19,89,94,6.89,RU,1619574258
520,Manaure,11.7751,-72.4445,79.34,75,94,16.58,CO,1619574258
521,Muisne,0.6,-80.0333,75.4,93,100,3.53,EC,1619574258
522,Ulladulla,-35.35,150.4667,66.99,68,75,3.44,AU,1619574259
523,Collie,-33.3667,116.15,73.38,47,13,1.36,AU,1619574259
524,Kapit,2.0167,112.9333,75.69,96,100,0.87,MY,1619574260
525,Lazurne,46.084,32.5295,37.99,100,100,14.0,UA,1619574260
526,Sarāhan,31.5167,77.8,58.28,41,0,7.09,IN,1619574260
527,Santa Rosa,14.3122,121.1114,87.8,55,20,4.61,PH,1619574261
528,Saint-Jovite,46.1186,-74.5966,44.6,53,100,1.14,CA,1619574261
529,Rio Verde de Mato Grosso,-18.9181,-54.8442,69.49,58,0,5.5,BR,1619574261
530,Tabou,4.423,-7.3528,79.07,88,100,7.83,CI,1619574262
531,San Quintín,30.4833,-115.95,57.07,70,13,16.28,MX,1619574262
532,Coquimbo,-29.9533,-71.3436,55.4,94,0,4.07,CL,1619574262
533,Stornoway,58.2093,-6.3865,44.6,76,20,11.5,GB,1619574263
534,Vostok,46.4856,135.8833,42.4,86,100,4.52,RU,1619574263
535,Peace River,56.2501,-117.286,17.6,79,90,10.36,CA,1619574263
536,Prince Rupert,54.3161,-130.3201,46.4,87,90,14.97,CA,1619574264
537,Samarai,-10.6167,150.6667,78.94,81,100,9.66,PG,1619574264
538,Khani,41.9563,42.9566,46.4,100,90,3.44,GE,1619574264
539,Tres Picos,15.8667,-93.5333,82.15,77,10,2.42,MX,1619574265
540,Havre-St-Pierre,50.2334,-63.5986,39.2,100,90,2.3,CA,1619574265
541,San Ramon,37.7799,-121.978,69.8,30,1,13.8,US,1619574254
542,Manokwari,-0.8667,134.0833,83.86,66,73,4.21,ID,1619574266
543,Khuzdar,27.7384,66.6434,73.78,29,93,3.42,PK,1619574266
544,Middle Island,40.8843,-72.9373,52.0,62,1,4.61,US,1619574267
545,Talara,-4.5772,-81.2719,69.94,82,93,14.41,PE,1619574267
546,Deshnok,27.7986,73.3447,86.34,18,0,14.18,IN,1619574268
547,Egvekinot,66.3167,-179.1667,28.11,93,74,1.01,RU,1619574268
548,Waipawa,-41.4122,175.5153,57.99,62,75,5.75,NZ,1619574268
549,Alyangula,-13.8483,136.4192,84.2,94,75,8.05,AU,1619574269
550,Nouakchott,18.0858,-15.9785,66.2,88,0,13.8,MR,1619574269
551,Aubenas,44.6201,4.3899,55.0,87,100,2.73,FR,1619574270
552,Kansk,56.2017,95.7175,45.18,72,86,3.27,RU,1619574270
553,Salinópolis,-0.6136,-47.3561,79.23,81,100,7.78,BR,1619574270
554,Pathein,16.7833,94.7333,87.49,58,69,3.2,MM,1619574271
555,Autazes,-3.5797,-59.1306,73.15,97,100,1.36,BR,1619574271
556,Iquitos,-3.7481,-73.2472,77.0,94,75,1.14,PE,1619573997
557,Samarinda,-0.5,117.15,81.82,86,85,1.86,ID,1619574272
558,Marysville,48.0518,-122.1771,57.99,67,40,9.22,US,1619574184
559,Arlit,18.7369,7.3853,87.93,9,0,11.34,NE,1619574272
560,Mogadishu,2.0371,45.3438,82.8,75,95,10.51,SO,1619574272
561,El Salvador,13.8333,-88.9167,80.6,78,40,4.61,SV,1619574052
562,Mozarlândia,-14.7447,-50.5706,74.86,60,47,5.5,BR,1619574273
563,Blackfoot,43.1905,-112.345,55.0,54,11,1.99,US,1619573993
564,Arari,-3.4536,-44.78,75.24,94,100,2.98,BR,1619574273
565,Kathu,7.9178,98.3332,88.0,79,20,3.44,TH,1619574274
566,Sambava,-14.2667,50.1667,74.28,89,15,8.46,MG,1619574274
567,Trairi,-3.2778,-39.2689,76.24,84,96,6.53,BR,1619574275
568,Amazar,53.858,120.875,29.8,81,100,8.75,RU,1619574275
569,Panabá,21.2833,-88.2667,81.19,62,6,15.08,MX,1619574275
570,Thompson,55.7435,-97.8558,23.0,50,75,12.66,CA,1619574124
571,Gladstone,-23.85,151.25,75.2,50,90,10.36,AU,1619574276
572,Kamenka,51.3223,42.7678,39.0,83,100,5.19,RU,1619574276
573,Vanavara,60.34,102.2797,33.06,59,3,4.81,RU,1619574277
574,Vao,-22.6667,167.4833,73.96,51,0,15.93,NC,1619574277
575,Mingyue,43.1069,128.9217,57.0,25,56,14.56,CN,1619574278
576,Clyde River,70.4692,-68.5914,21.2,73,1,2.3,CA,1619574278
577,Pingliang,35.5392,106.6861,56.46,24,15,22.48,CN,1619574278
578,Diffa,13.3154,12.6113,83.16,14,33,9.51,NE,1619574279
579,Caravelas,-17.7125,-39.2481,73.9,80,48,5.44,BR,1619574279
580,Khanpur,28.6453,70.6567,87.42,23,35,7.76,PK,1619574279
581,Ossora,59.2353,163.0719,31.62,65,100,6.53,RU,1619574280
582,Shimoda,34.6667,138.95,68.0,63,75,12.66,JP,1619574280
583,Nurota,40.5614,65.6886,62.6,48,0,11.5,UZ,1619574281
584,Maceió,-9.6658,-35.7353,77.0,94,75,10.36,BR,1619574281
585,Juneau,58.3019,-134.4197,44.6,76,90,5.75,US,1619574281
586,Wajima,37.4,136.9,59.0,82,75,16.11,JP,1619574282
587,Arrondissement de Narbonne,43.0833,2.8333,55.99,81,100,2.15,FR,1619574282
588,Aykhal,66.0,111.5,25.0,87,41,8.5,RU,1619574282
